Domain	Color	idx	pvalue
Activities	1	1	0.015706
Activities	1	2	0.00279
Activities	1	3	0.041965
Activities	1	4	0.01972
Activities	1	5	0.00016789
Activities	1	6	0.00074748
Activities	1	7	0.0085337
Activities	1	8	0.011324
Activities	1	9	0.0065019
Activities	1	10	0.013431
Activities	1	11	0.026109
Activities	1	12	0.020335
Body Structures	2	13	0.0019869
Body Structures	2	14	0.0022893
Cardiovascular	3	15	0.00010474
Cardiovascular	3	16	0.013759
Cardiovascular	3	17	0.015979
Cardiovascular	3	18	0.000094048
Cell	4	19	0.027157
Cell	4	20	0.0078904
Cell	4	21	0.0053603
Cell	4	22	0.01357
Cell	4	23	0.0042093
Cell	4	24	0.0033304
Cell	4	25	0.032172
Cell	4	26	0.049184
Cell	4	27	0.032585
Cell	4	28	0.0024961
Cell	4	29	0.026316
Cell	4	30	0.030953
Cell	4	31	0.039077
Cell	4	32	0.040803
Cell	4	33	0.01498
Cell	4	34	0.0062554
Cell	4	35	0.01297
Cell	4	36	0.030268
Cell	4	37	0.041039
Cell	4	38	0.023098
Cell	4	39	0.010953
Cell	4	40	0.036931
Cell	4	41	0.0056411
Cell	4	42	0.043202
Cell	4	43	0.016711
Cell	4	44	0.034022
Cell	4	45	0.02089
Cell	4	46	0.00042957
Cell	4	47	0.0004878
Cell	4	48	0.039255
Cell	4	49	0.04278
Cell	4	50	0.041097
Cell	4	51	0.0087823
Cell	4	52	0.0009337
Cell	4	53	0.005152
Cell	4	54	0.024772
Cell	4	55	0.0041942
Cell	4	56	0.0056363
Cell	4	57	0.042776
Cell	4	58	0.039523
Cell	4	59	0.0040258
Cell	4	60	0.017912
Cell	4	61	0.039519
Cell	4	62	0.034303
Cell	4	63	0.01524
Cell	4	64	0.029523
Cell	4	65	0.042934
Cell	4	66	0.028746
Cell	4	67	0.012873
Cell	4	68	0.012429
Cognitive	5	69	0.049711
Connective Tissue	6	70	0.017472
Dermatological	7	71	2.0507E-06
Dermatological	7	72	0.0029565
Dermatological	7	73	0.037488
Ear, Nose, Throat	8	74	0.013482
Ear, Nose, Throat	8	75	0.04625
Endocrine	9	76	0.030026
Endocrine	9	77	0.049507
Endocrine	9	78	0.001924
Endocrine	9	79	2.60E-08
Endocrine	9	80	0.03979
Endocrine	9	81	0.00079326
Endocrine	9	82	0.019864
Endocrine	9	83	0.0032263
Endocrine	9	84	0.00016475
Endocrine	9	85	6.20E-10
Endocrine	9	86	3.14E-11
Endocrine	9	87	2.39E-10
Endocrine	9	88	1.13E-15
Endocrine	9	89	8.60E-14
Endocrine	9	90	0.0047234
Endocrine	9	91	0.025317
Endocrine	9	92	0.022018
Environment	10	93	0.014013
Environment	10	94	0.00046944
Environment	10	95	0.014984
Environment	10	96	0.025143
Environment	10	97	0.010631
Environment	10	98	0.015932
Environmental	11	99	0.01026
Gastrointestinal	12	100	0.040171
Gastrointestinal	12	101	0.023149
Gastrointestinal	12	102	0.010845
Gastrointestinal	12	103	0.010051
Gastrointestinal	12	104	0.044196
Gastrointestinal	12	105	0.0024004
Hematological	13	106	0.0040222
Immunological	14	107	0.025366
Immunological	14	108	0.023328
Immunological	14	109	0.036672
Immunological	14	110	0.035663
Immunological	14	111	0.033752
Immunological	14	112	0.038039
Immunological	14	113	0.045407
Immunological	14	114	0.0076317
Immunological	14	115	0.00026452
Immunological	14	116	0.010641
Immunological	14	117	0.0068451
Immunological	14	118	0.038321
Immunological	14	119	0.021186
Immunological	14	120	0.00039699
Immunological	14	121	0.029607
Immunological	14	122	0.040947
Immunological	14	123	0.010986
Infection	15	124	0.021299
Metabolic	16	125	0.028688
Metabolic	16	126	0.046411
Metabolic	16	127	0.046869
Metabolic	16	128	0.020384
Metabolic	16	129	0.01471
Metabolic	16	130	0.015865
Metabolic	16	131	0.047888
Metabolic	16	132	0.005357
Metabolic	16	133	0.0057566
Metabolic	16	134	0.026592
Metabolic	16	135	0.00017681
Metabolic	16	136	0.037832
Metabolic	16	137	0.044495
Metabolic	16	138	0.015351
Metabolic	16	139	0.049821
Metabolic	16	140	0.043913
Metabolic	16	141	0.048156
Metabolic	16	142	0.018337
Metabolic	16	143	0.034703
Metabolic	16	144	0.015472
Metabolic	16	145	0.0097361
Metabolic	16	146	0.01592
Metabolic	16	147	0.01312
Metabolic	16	148	0.018637
Metabolic	16	149	0.046591
Metabolic	16	150	0.012731
Metabolic	16	151	0.022192
Metabolic	16	152	0.017254
Metabolic	16	153	0.037004
Metabolic	16	154	0.045001
Metabolic	16	155	0.0076832
Metabolic	16	156	0.045019
Metabolic	16	157	0.04439
Metabolic	16	158	0.013212
Metabolic	16	159	0.042018
Metabolic	16	160	0.038113
Metabolic	16	161	0.0019984
Metabolic	16	162	0.0017596
Metabolic	16	163	0.0054619
Metabolic	16	164	0.018675
Metabolic	16	165	0.0042397
Metabolic	16	166	0.033826
Metabolic	16	167	0.033067
Metabolic	16	168	0.035636
Metabolic	16	169	0.0037298
Metabolic	16	170	0.021061
Metabolic	16	171	0.018016
Metabolic	16	172	0.0075644
Metabolic	16	173	0.000018933
Metabolic	16	174	3.6934E-06
Metabolic	16	175	0.00011372
Metabolic	16	176	0.01633
Metabolic	16	177	0.047261
Metabolic	16	178	0.0054831
Metabolic	16	179	0.02937
Metabolic	16	180	0.035823
Metabolic	16	181	0.012399
Metabolic	16	182	0.027167
Metabolic	16	183	0.011235
Metabolic	16	184	0.024604
Metabolic	16	185	0.03874
Metabolic	16	186	0.000012367
Metabolic	16	187	0.000017434
Metabolic	16	188	0.0031243
Metabolic	16	189	0.014244
Metabolic	16	190	0.042341
Metabolic	16	191	0.0094658
Metabolic	16	192	0.046262
Metabolic	16	193	0.0051525
Metabolic	16	194	0.044831
Metabolic	16	195	8.29E-08
Metabolic	16	196	0.045276
Metabolic	16	197	0.0024471
Mortality	17	198	0.0032433
Neoplasms	18	199	0.027825
Neoplasms	18	200	0.011055
Neurological	19	201	0.00084945
Neurological	19	202	0.0171
Neurological	19	203	0.016035
Neurological	19	204	0.0058473
Neurological	19	205	0.017539
Neurological	19	206	0.011137
Neurological	19	207	0.038672
Neurological	19	208	0.013508
Neurological	19	209	0.0011117
Neurological	19	210	0.044321
Neurological	19	211	0.0036099
Neurological	19	212	0.024421
Neurological	19	213	0.029294
Neurological	19	214	0.020012
Neurological	19	215	0.038423
Neurological	19	216	0.0079468
Neurological	19	217	0.0040247
Neurological	19	218	0.036108
Neurological	19	219	0.0406
Neurological	19	220	0.036371
Neurological	19	221	0.027126
Neurological	19	222	0.027435
Neurological	19	223	0.021116
Neurological	19	224	0.0050565
Nutritional	20	225	0.039672
Nutritional	20	226	0.046771
Ophthalmological	21	227	0.0039545
Ophthalmological	21	228	0.039501
Psychiatric	22	229	0.0087013
Psychiatric	22	230	0.036038
Psychiatric	22	231	0.010886
Psychiatric	22	232	0.041644
Psychiatric	22	233	0.0071587
Psychiatric	22	234	0.025553
Psychiatric	22	235	0.029211
Psychiatric	22	236	0.0095981
Psychiatric	22	237	0.012252
Psychiatric	22	238	0.012579
Reproduction	23	239	0.000084319
Reproduction	23	240	7.7253E-06
Reproduction	23	241	0.044594
Reproduction	23	242	0.039565
Reproduction	23	243	0.0021719
Reproduction	23	244	1.07E-08
Reproduction	23	245	0.00023677
Reproduction	23	246	0.0029456
Reproduction	23	247	0.040101
Respiratory	24	248	0.0090146
Respiratory	24	249	0.010097
Skeletal	25	250	0.0023464
Skeletal	25	251	0.016626
Skeletal	25	252	0.0076087
Skeletal	25	253	0.0001721
Skeletal	25	254	0.029635
Skeletal	25	255	0.00030436
Skeletal	25	256	3.47E-08
Skeletal	25	257	6.38E-08
Social Interactions	26	258	0.0088102
Social Interactions	26	259	0.02417
