POP	Longitude	Latitude	G	T
CHB	116.407395	39.904211	0.262	0.738
JPT	139.691706	35.689487	0.255	0.745
CHS	113.264385	23.12911	0.245	0.755
CDX	100.79715	22.008811	0.172	0.828
KHV	106.629664	10.823099	0.163	0.837
CEU	4.474432	42.463624	0.465	0.535
TSI	11.291225	42.599863	0.431	0.569
FIN	25.748151	61.92411	0.333	0.667
GBR	-0.127758	51.507351	0.435	0.565
IBS	-3.74922	40.463667	0.443	0.557
YRI	3.94704	7.377535	0.665	0.335
LWK	34.779603	0.599206	0.743	0.257
GWD	-16.581979	13.22292	0.677	0.323
MSL	-10.692845	8.200245	0.776	0.224
ESN	6.226976	6.80581	0.697	0.303
ASW	-97.743061	30.267153	0.705	0.295
ACB	-59.543198	13.193887	0.651	0.349
MXL	-102.552784	23.634501	0.381	0.619
PUR	-66.590149	18.220833	0.452	0.548
CLM	-75.564574	6.253041	0.447	0.553
PEL	-77.042793	-12.046374	0.372	0.628
GIH	72.921787	22.307187	0.344	0.656
PJL	74.357158	31.554606	0.432	0.568
BEB	90.356331	23.684994	0.36	0.64
STU	78.827115	9.957924	0.364	0.636
ITU	78.48585	15.487768	0.345	0.655
