POP	Longitude	Latitude	T	C
CHB	116.407395	39.904211	0	1
JPT	139.691706	35.689487	0	1
CHS	113.264385	23.12911	0	1
CDX	100.79715	22.008811	0	1
KHV	106.629664	10.823099	0	1
CEU	4.474432	42.463624	0.202	0.798
TSI	11.291225	42.599863	0.194	0.806
FIN	25.748151	61.92411	0.197	0.803
GBR	-0.127758	51.507351	0.12	0.88
IBS	-3.74922	40.463667	0.173	0.827
YRI	3.94704	7.377535	0.628	0.372
LWK	34.779603	0.599206	0.639	0.361
GWD	-16.581979	13.22292	0.673	0.327
MSL	-10.692845	8.200245	0.677	0.323
ESN	6.226976	6.80581	0.646	0.354
ASW	-97.743061	30.267153	0.53	0.47
ACB	-59.543198	13.193887	0.615	0.385
MXL	-102.552784	23.634501	0.097	0.903
PUR	-66.590149	18.220833	0.252	0.748
CLM	-75.564574	6.253041	0.176	0.824
PEL	-77.042793	-12.046374	0.035	0.965
GIH	72.921787	22.307187	0.075	0.925
PJL	74.357158	31.554606	0.099	0.901
BEB	90.356331	23.684994	0.058	0.942
STU	78.827115	9.957924	0.053	0.947
ITU	78.48585	15.487768	0.053	0.947
